Time,Temperature,Humidity,Pressure,Altitude, PM1,PM2,PM3
1630652065.0288935,24.422265625,37.02285325278935,1004.0216584125403,77.08366594497961,0,1,2
1630652066.1978385,24.42734375,37.002908527195096,1004.0504077793552,76.89537512198322,0,1,2
1630652067.3672047,24.4427734375,36.92299252749325,1004.0106283130011,77.1710418990371,0,1,2
1630652068.5386007,24.4478515625,37.07294113746071,1004.0300480578053,77.29617160323568,0,1,2
1630652069.7072556,24.4478515625,36.903001942096736,1003.9807937430784,77.40739922577981,0,1,2
1630652070.8761458,24.4580078125,36.937985389890486,1003.9919251546912,77.21948585725171,0,1,2
1630652072.045013,24.4427734375,36.84304981391269,1003.9803225402944,77.41413828351396,0,1,2
1630652073.2142353,24.4580078125,36.913018373711225,1004.0101578422739,77.36329927499683,0,1,2
1630652074.3833363,24.4478515625,36.957997406584454,1004.0032421746464,77.3911064708398,0,1,2
1630652075.551637,24.4427734375,36.98796112338033,1004.0026267350192,77.34939570396708,0,1,2
1630652076.7244961,24.4478515625,36.85302496760443,1003.9810793739191,77.3911064708398,0,1,2
1630652077.8925617,24.4529296875,36.96797091758456,1004.0035277729568,77.2798781176617,0,1,2
1630652079.0608506,24.4529296875,36.972990286138945,1004.0101578422739,77.30768509841025,0,1,2
1630652080.2303147,24.46328125,36.92301376545098,1003.9886101216117,77.28900417761159,0,1,2
1630652081.3996575,24.468359375,37.02798603785681,1003.9952401880868,77.23338948547068,0,1,2
1630652082.5685427,24.4580078125,36.962995040402795,1004.0253611727243,77.44194605977818,0,1,2
1630652083.739089,24.4427734375,36.98300741344549,1004.0054707991627,77.37242675355903,0,1,2
1630652084.9076116,24.432421875,36.90295908470555,1004.0357765473813,77.00659771239866,0,1,2
1630652086.0762103,24.422265625,36.91291184786812,1004.021944583954,77.23420430444939,0,1,2
1630652087.245483,24.432421875,36.903001942096736,1004.0042842248872,77.24294952556023,0,1,2
1630652088.4141767,24.4478515625,36.832992737640005,1003.9758213172448,77.37720286395606,0,1,2
1630652089.58319,24.4529296875,36.84307013369738,1004.0051852901676,77.3911064708398,0,1,2
1630652090.7518194,24.4529296875,36.91299724939502,1003.9803225402944,77.38871809374037,0,1,2
1630652091.9204884,24.4529296875,36.79307139517778,1003.9545595631888,77.44672107761032,0,1,2
1630652093.0893857,24.4580078125,36.813022865522925,1003.9985552217979,77.44672107761032,0,1,2
1630652094.2601216,24.4529296875,36.90804172536423,1004.000212738772,77.34700699909767,0,1,2
1630652095.4289515,24.46328125,36.95302133532235,1003.9919251546912,77.43042934969894,0,1,2
1630652096.597865,24.46328125,36.893027502629536,1003.9988406771686,77.22584903021371,0,1,2
1630652097.7666614,24.4529296875,36.92801145037059,1004.0223316500064,77.25207120860638,0,1,2
1630652098.9356031,24.4478515625,37.002953701077,1003.9836375725844,77.36329927499683,0,1,2
1630652100.1049962,24.4478515625,36.8529832685094,1003.9976542658889,77.35178527111884,0,1,2
1630652101.2750475,24.4529296875,36.89300660559839,1004.0085003248262,77.50711356414901,0,1,2
1630652102.4432619,24.4427734375,36.932944224038806,1003.9887953204628,77.25685273469846,0,1,2
1630652103.6116834,24.432421875,36.84800683535288,1003.9907385968772,77.36807905305793,0,1,2
1630652104.7800233,24.42734375,36.90293804661841,1004.0136572651207,77.45904715592147,0,1,2
1630652105.9483476,24.432421875,36.832992737640005,1003.9769072762475,77.39588581188578,0,1,2
1630652107.1166718,24.422265625,36.84796523369795,1003.9633618864459,77.58417712978536,0,1,2
1630652108.2859867,24.432421875,36.877929750873435,1003.9984541124636,77.45904715592147,0,1,2
1630652109.4547217,24.432421875,36.80296691006452,1003.9987400961944,77.57027372766063,0,1,2
1630652110.6241014,24.4376953125,36.892922121952935,1003.9984541124636,77.36172484663058,0,1,2
1630652111.7929718,24.432421875,36.88294803502229,1004.0106283130011,77.23659745372257,0,1,2
1630652112.9618165,24.432421875,36.97288032487669,1004.0208591279102,77.2985624696554,0,1,2
1630652114.1310651,24.432421875,36.98285300360478,1003.9785647247135,77.16708286272907,0,1,2
1630652115.3008778,24.422265625,36.96786119714622,1004.0064552072461,77.44992952278182,0,1,2
1630652116.4690135,24.412109375,37.02285325278935,1004.0100562605678,77.16708286272907,0,1,2
1630652117.6370459,24.42734375,37.05283665916845,1003.9970826333752,77.06736872786881,0,1,2
1630652118.805652,24.422265625,36.97288032487669,1003.999825462111,77.00024967242483,0,1,2
1630652119.9738047,24.4017578125,37.06278531189582,1004.0047977708439,77.32480312849485,0,1,2
1630652121.1458437,24.422265625,36.9428962177606,1004.0285744404418,77.39192394083858,0,1,2
1630652122.3176208,24.42734375,37.032847750779766,1004.0017690115272,77.3061124927753,0,1,2
1630652123.48616,24.4171875,37.057856676504265,1004.0216584125403,77.264403415573,0,1,2
1630652124.6550295,24.422265625,37.077822630419085,1004.0484640174841,77.00024967242483,0,1,2
1630652125.8234885,24.422265625,36.92786137616908,1004.0186296561839,77.3224089103347,0,1,2
1630652126.9917336,24.4376953125,36.98289692508132,1003.9832511047991,77.22904633434163,0,1,2
